Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol
NYSE:AA,17 Aug 2025,$40.85,3,,,3,$31.19,30.96%,30.96%,$40.85,$40.85,$30.97,-0.71%,$48.61,55.86%,$96.50,209.40%,AA
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$13.18,-5.53%,,,,$13.87,5.24%,-$56.06,-525.34%,-$51.35,-489.62%,AAL
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,1,$80.54,-18.36%,-18.36%,$65.75,$65.75,$83.26,3.38%,$94.39,17.20%,$102.45,27.20%,AAON
NYSE:ABEV,26 Aug 2025,$2.63,5,$2.50,7,4.25,$2.23,12.11%,12.11%,$2.50,$2.63,$2.26,1.35%,$3.09,38.42%,$3.90,74.98%,ABEV
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,3.5,$45.93,21.45%,21.45%,$55.78,$58.40,$50.04,8.95%,$0.00,-100.00%,$0.00,-100.00%,ABM
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$4.06,79.63%,,,,$4.10,0.99%,$10.46,157.75%,$18.82,363.62%,ACCO
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,3.25,$91.68,6.10%,6.10%,$97.27,$108.00,$96.28,5.02%,$164.72,79.67%,$173.55,89.30%,ACGL
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.26,5.81%,,,,$8.39,1.57%,$9.27,12.24%,$9.31,12.71%,ACHR
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,4.25,$255.11,3.52%,3.52%,$264.08,$333.45,$261.70,2.58%,$0.00,-100.00%,$0.00,-100.00%,ACN
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.34,50.88%,,,,,-100.00%,-$2.00,-688.24%,-$2.00,-688.24%,ADIL
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,3,$9.68,-21.59%,-21.59%,$7.59,$7.59,$10.10,4.34%,$18.91,95.30%,$38.66,299.38%,ADTN
NYSE:AES,11 Jul 2025,$13.47,3,,,,$12.72,5.86%,,,,$13.69,7.63%,-$56.02,-540.40%,-$51.72,-506.63%,AES
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.96,18.98%,,,,$15.05,0.60%,$52.45,250.63%,$77.97,421.17%,AFYA
NYSE:AG,12 Aug 2025,$7.66,3,,,3,$9.10,-15.88%,-15.88%,$7.66,$7.66,$9.13,0.33%,$10.82,18.95%,$18.11,98.96%,AG
NYSE:AGI,19 Aug 2025,$18.00,1,,,1,$32.18,-44.08%,-44.08%,$18.00,$18.00,$32.65,1.46%,$40.28,25.16%,$49.54,53.94%,AGI
NYSE:AGM,26 Aug 2025,$230.34,3,,,3,$202.82,13.57%,13.57%,$230.34,$230.34,$206.73,1.93%,"-$1,738.94",-957.38%,"-$1,410.37",-795.38%,AGM
NASDAQ:AGNC,7 Jul 2025,$11.25,4,,,,$10.33,8.93%,,,,$10.08,-2.42%,-$69.16,-769.49%,-$68.80,-766.03%,AGNC
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$82.91,20.88%,,,,$84.38,1.77%,$52.48,-36.71%,$52.58,-36.58%,AGO
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,2.25,$8.14,15.48%,15.48%,$9.40,$9.55,$8.66,6.39%,$22.78,179.86%,$52.83,549.08%,AGRO
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$79.76,6.27%,,,,$83.29,4.43%,-$48.64,-160.98%,$17.62,-77.91%,AIG
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,2.5,$62.45,6.97%,6.97%,$66.80,$77.61,$64.10,2.64%,$64.01,2.50%,$90.23,44.48%,AIN
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,2.75,$5.80,-13.79%,-13.79%,$5.00,$6.69,$5.88,1.38%,$7.49,29.19%,$9.44,62.78%,AIRS
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,4,$212.03,4.62%,4.62%,$221.82,$239.50,$217.68,2.66%,-$168.36,-179.40%,-$122.55,-157.80%,AIZ
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.68,-21.69%,,,,$64.14,0.72%,-$207.18,-425.35%,-$134.25,-310.82%,AL
NYSE:ALC,27 Aug 2025,$81.45,1,,,1,$80.31,1.42%,1.42%,$81.45,$81.45,$82.10,2.23%,$116.39,44.92%,$163.02,102.99%,ALC
NYSE:ALEX,24 Apr 2025,$18.39,4,$23.00,9,,$19.24,-4.41%,,,,$19.15,-0.47%,$22.47,16.77%,$32.08,66.73%,ALEX
NYSE:ALIT,17 Jul 2025,$9.59,3,,,,$3.78,153.81%,,,,$4.09,8.20%,$3.01,-20.40%,$13.13,247.26%,ALIT
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.58,-0.12%,,,,$40.68,-2.16%,-$439.85,-1157.84%,-$460.67,-1207.91%,ALLY
NASDAQ:ALRS,3 Jun 2025,$23.53,4,$21.50,9,,$22.48,-4.36%,,,,$22.73,1.11%,-$148.69,-761.43%,-$143.03,-736.28%,ALRS
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,2,$4.07,30.96%,30.96%,$5.33,$5.33,$4.31,5.90%,$0.00,-100.00%,$0.00,-100.00%,ALTS
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,3,$8.30,4.36%,4.36%,$8.66,$8.66,$8.28,-0.24%,$4.91,-40.81%,$6.37,-23.21%,ALVO
NYSE:AMBP,29 Aug 2025,$5.14,4,$4.41,6,3.5,$3.56,23.88%,23.88%,$4.41,$5.14,$3.66,2.81%,$6.90,93.94%,$16.98,376.94%,AMBP
NYSE:AMCR,5 Sep 2025,$10.29,5,$10.77,8,4.5,$8.27,24.45%,24.45%,$10.29,$10.77,$8.60,3.99%,$10.24,23.83%,$15.18,83.52%,AMCR
NYSE:AMPY,26 Aug 2025,$6.99,3,,,3,$3.81,83.56%,83.56%,$6.99,$6.99,$3.91,2.62%,$24.42,540.91%,$64.47,1592.09%,AMPY
NASDAQ:AMRK,30 Aug 2025,$28.71,3,$43.50,2,2,$23.95,19.87%,19.87%,$28.71,$43.50,$24.58,2.63%,$0.00,-100.00%,$0.00,-100.00%,AMRK
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,3,$46.41,-0.91%,-0.91%,$45.99,$45.99,$48.39,4.27%,$23.70,-48.93%,$24.63,-46.93%,AMSF
NASDAQ:AMWD,30 Aug 2025,$86.63,3,$70.67,6,3,$68.60,3.02%,3.02%,$70.67,$86.63,$64.10,-6.56%,$121.80,77.56%,$182.38,165.87%,AMWD
NYSE:AMX,15 May 2025,$18.21,3,$16.53,3,,$19.52,-15.32%,,,,$19.98,2.36%,$874.74,4381.27%,"$2,730.70",13889.24%,AMX
NYSE:ANF,20 Aug 2025,$127.43,3,$118.44,7,3.25,$95.09,24.56%,24.56%,$118.44,$127.43,$93.39,-1.79%,$149.52,57.25%,$205.49,116.10%,ANF
NYSE:AON,29 Aug 2025,$347.01,2,,,2,$370.21,-6.27%,-6.27%,$347.01,$347.01,$383.07,3.47%,$405.44,9.52%,$480.87,29.89%,AON
NASDAQ:APA,12 Aug 2025,$28.49,3,$22.45,7,3.25,$22.74,-1.28%,-1.28%,$22.45,$28.49,$22.73,-0.04%,$43.61,91.79%,$103.10,353.40%,APA
NYSE:APD,30 Aug 2025,$296.29,3,$328.83,8,3.5,$288.39,2.74%,2.74%,$296.29,$328.83,$289.79,0.49%,$195.58,-32.18%,$216.33,-24.99%,APD
NYSE:APH,16 Sep 2023,$81.57,2,,,,$109.27,-25.35%,,,,$111.64,2.17%,$164.15,50.22%,$175.63,60.73%,APH
NASDAQ:API,24 Aug 2025,$3.05,3,,,3,$3.48,-12.50%,-12.50%,$3.05,$3.05,$3.46,-0.57%,$0.45,-87.09%,$2.12,-39.03%,API
NASDAQ:APOG,5 May 2025,$66.39,5,$55.00,2,,$43.68,25.92%,,,,$44.82,2.61%,$0.00,-100.00%,$0.00,-100.00%,APOG
NYSE:AQN,26 Aug 2025,$6.14,4,$6.23,8,4,$5.68,8.16%,8.16%,$6.14,$6.23,$5.80,2.11%,-$3.05,-153.61%,$4.51,-20.54%,AQN
NYSE:AR,20 Aug 2025,$31.31,3,,,3,$32.24,-2.89%,-2.89%,$31.31,$31.31,$32.20,-0.12%,$70.54,118.78%,$96.03,197.87%,AR
NYSE:ARCO,29 Aug 2025,$10.31,3,$9.65,9,3.75,$6.90,39.86%,39.86%,$9.65,$10.31,$7.13,3.33%,-$5.03,-172.87%,$20.23,193.19%,ARCO
