Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$46.14,-11.47%,,,,$45.92,-0.48%,$25.80,-44.08%,$59.82,29.66%,AA,NYSE:AA,-0.406
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.96,-16.77%,,,,$14.70,-1.74%,$6.51,-56.49%,$12.26,-18.05%,AAL,NASDAQ:AAL,-0.772
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$77.93,-15.63%,,,,$77.52,-0.53%,$90.16,15.70%,$98.45,26.33%,AAON,NASDAQ:AAON,-0.469
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$77.95,-11.16%,,,,,-100.00%,-$2.00,-102.57%,-$2.00,-102.57%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.25,$77.95,-5.80%,-5.80%,$73.43,$73.43,$77.01,-1.21%,-$145.15,-286.21%,-$135.53,-273.87%,ABCB,NYSE:ABCB,-0.538
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.55,8.63%,8.63%,$2.77,$3.18,$2.47,-3.14%,$6.54,156.38%,$7.77,204.60%,ABEV,NYSE:ABEV,-0.745
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$46.64,19.60%,,,,$46.36,-0.60%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.433
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.79,92.43%,,,,$3.82,0.79%,$35.82,845.15%,$50.66,1236.66%,ACCO,NYSE:ACCO,-0.022
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.30,14.22%,,,,$10.94,-3.19%,$19.38,71.53%,$28.80,154.84%,ACEL,NYSE:ACEL,-0.633
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$93.92,3.57%,,,,$91.89,-2.16%,$359.37,282.64%,$368.94,292.82%,ACGL,NASDAQ:ACGL,-0.780
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.30,5.30%,,,,$8.98,8.19%,$7.41,-10.73%,$7.45,-10.27%,ACHR,NYSE:ACHR,0.109
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$271.56,-2.75%,,,,$272.33,0.28%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,-0.244
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.99,34.19%,,,,$7.90,-1.13%,$10.78,34.96%,$7.64,-4.44%,ACVA,NYSE:ACVA,-0.693
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$71.75,10.47%,,,,$69.01,-3.82%,$49.41,-31.14%,$83.83,16.83%,ADC,NYSE:ADC,-0.912
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.30,71.00%,,,,,-100.00%,-$2.00,-766.67%,-$2.00,-766.67%,ADIL,NASDAQ:ADIL,-2.000
