Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$43.77,-6.68%,,,,$44.16,0.89%,$23.58,-46.12%,$57.98,32.46%,AA,NYSE:AA,-0.174
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.81,-15.93%,,,,$14.05,-5.13%,$7.52,-49.25%,$13.24,-10.57%,AAL,NASDAQ:AAL,-0.743
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$87.53,-24.88%,,,,$84.84,-3.07%,$100.14,14.40%,$108.55,24.01%,AAON,NASDAQ:AAON,-0.480
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$76.55,-9.54%,,,,,-100.00%,-$2.00,-102.61%,-$2.00,-102.61%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.25,$76.55,-4.08%,-4.08%,$73.43,$73.43,$75.91,-0.84%,-$145.05,-289.48%,-$135.29,-276.73%,ABCB,NYSE:ABCB,-0.504
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.46,12.60%,12.60%,$2.77,$3.18,$2.44,-0.81%,$6.51,164.47%,$7.75,215.11%,ABEV,NYSE:ABEV,-0.605
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$44.63,24.98%,,,,$43.93,-1.57%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.580
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.59,103.15%,,,,$3.57,-0.56%,$36.43,914.87%,$51.50,1334.54%,ACCO,NYSE:ACCO,-0.231
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.47,23.28%,,,,$10.28,-1.81%,$18.68,78.42%,$28.17,169.05%,ACEL,NYSE:ACEL,-0.666
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$91.72,6.05%,,,,$90.44,-1.40%,$363.85,296.69%,$373.56,307.29%,ACGL,NASDAQ:ACGL,-0.652
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.60,1.63%,,,,$9.11,5.93%,$7.70,-10.49%,$7.74,-10.04%,ACHR,NYSE:ACHR,0.150
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$266.59,-0.94%,,,,$269.48,1.08%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,-0.072
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.15,31.56%,,,,$7.83,-3.93%,$11.00,34.93%,$7.81,-4.13%,ACVA,NYSE:ACVA,-0.566
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.90,7.25%,,,,$72.59,-1.77%,$91.15,23.35%,$135.14,82.87%,ADC,NYSE:ADC,-0.787
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.53,-11.02%,,,,$12.84,50.53%,$4.58,-46.28%,$27.66,224.22%,ADTN,NASDAQ:ADTN,1.000
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$168.83,-52.92%,,,,$164.94,-2.30%,$314.07,86.03%,$375.39,122.35%,AEM,NYSE:AEM,-0.765
