Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$41.74,-2.14%,,,,$42.01,0.65%,$21.67,-48.08%,$56.35,34.99%,AA,NYSE:AA,-0.074
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.05,-11.38%,,,,$13.73,-2.28%,$7.64,-45.62%,$13.35,-4.96%,AAL,NASDAQ:AAL,-0.687
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$93.46,-29.65%,,,,$92.21,-1.34%,$106.37,13.82%,$114.88,22.92%,AAON,NASDAQ:AAON,-0.421
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$75.76,-8.59%,,,,,-100.00%,-$2.00,-102.64%,-$2.00,-102.64%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,3,$75.76,-3.08%,-3.08%,$73.43,$73.43,$78.09,3.08%,-$144.68,-290.97%,-$134.81,-277.95%,ABCB,NYSE:ABCB,0.218
NYSE:ABEV,9 Nov 2025,$2.94,5,$2.81,6,3.5,$2.54,10.63%,10.63%,$2.81,$2.94,$2.53,-0.39%,$6.63,161.06%,$7.89,210.58%,ABEV,NYSE:ABEV,-0.371
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.00,29.72%,,,,$42.95,-0.12%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.425
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.44,112.01%,,,,$3.51,2.03%,$36.91,972.98%,$52.15,1416.06%,ACCO,NYSE:ACCO,0.062
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.24,26.04%,,,,$10.03,-2.05%,$18.55,81.12%,$28.09,174.35%,ACEL,NYSE:ACEL,-0.595
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$93.92,3.57%,,,,$94.60,0.72%,$371.20,295.23%,$381.03,305.69%,ACGL,NASDAQ:ACGL,-0.245
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.79,12.20%,,,,$8.10,3.98%,$6.90,-11.47%,$6.94,-10.97%,ACHR,NYSE:ACHR,0.215
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$250.00,5.63%,,,,$257.92,3.17%,$566.42,126.57%,$620.70,148.28%,ACN,NYSE:ACN,0.343
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.85,36.59%,,,,$7.63,-2.80%,$10.74,36.78%,$7.53,-4.11%,ACVA,NYSE:ACVA,-0.605
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$75.22,5.37%,,,,$74.99,-0.31%,$93.53,24.34%,$138.05,83.53%,ADC,NYSE:ADC,-0.335
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$7.93,-4.29%,,,,$8.00,0.88%,$4.03,-49.20%,$27.37,245.14%,ADTN,NASDAQ:ADTN,-0.022
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$174.43,-54.43%,,,,$174.11,-0.18%,$321.70,84.43%,$383.74,120.00%,AEM,NYSE:AEM,-0.181
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$123.77,-15.40%,,,,$122.79,-0.79%,$6.27,-94.93%,$128.12,3.52%,AEP,NASDAQ:AEP,-0.446
NYSE:AES,11 Jul 2025,$13.47,3,,,,$14.06,-4.23%,,,,$13.91,-1.07%,-$54.31,-486.26%,-$49.87,-454.71%,AES,NYSE:AES,-0.465
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.14,17.57%,,,,$14.73,-2.71%,$120.63,696.77%,$148.04,877.84%,AFYA,NASDAQ:AFYA,-0.521
NYSE:AG,12 Aug 2025,$7.66,3,,,,$15.23,-49.74%,,,,$13.90,-8.73%,$17.05,11.97%,$23.10,51.66%,AG,NYSE:AG,-0.357
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$37.50,-48.93%,,,,$37.14,-0.96%,$54.29,44.78%,$63.75,70.00%,AGI,NYSE:AGI,-0.232
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,3,$171.76,4.65%,4.65%,$179.75,$219.00,$170.86,-0.52%,"-$2,507.15",-1559.68%,"-$2,576.69",-1600.17%,AGM,NYSE:AGM,-0.381
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.49,-2.96%,,,,$10.40,-0.86%,-$73.11,-796.96%,-$67.30,-741.58%,AGNC,NASDAQ:AGNC,-0.605
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$90.54,10.70%,,,,$91.10,0.62%,$32.36,-64.25%,$32.43,-64.18%,AGO,NYSE:AGO,-0.155
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.13,15.62%,,,,$7.99,-1.72%,$36.62,350.47%,$17.98,121.21%,AGRO,NYSE:AGRO,-0.492
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$76.16,11.29%,,,,$75.88,-0.37%,-$58.18,-176.39%,$8.15,-89.30%,AIG,NYSE:AIG,-0.439
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$47.68,40.10%,,,,$47.75,0.15%,$65.95,38.33%,$108.77,128.12%,AIN,NYSE:AIN,-0.084
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.53,41.64%,,,,$3.48,-1.42%,$4.45,26.07%,$4.11,16.48%,AIRS,NASDAQ:AIRS,-0.199
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$228.16,-2.78%,,,,$229.94,0.78%,$479.34,110.09%,$570.12,149.88%,AIZ,NYSE:AIZ,-0.075
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.93,-21.99%,,,,$63.99,0.09%,-$213.30,-433.64%,-$82.48,-229.02%,AL,NYSE:AL,-0.438
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$79.31,2.70%,,,,$79.40,0.11%,$139.51,75.91%,$189.01,138.32%,ALC,NYSE:ALC,-0.325
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,2.75,$15.63,6.31%,6.31%,$16.62,$21.00,$15.54,-0.58%,$21.48,37.40%,$14.99,-4.09%,ALEX,NYSE:ALEX,-0.439
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$2.31,170.17%,,,,$2.27,-1.73%,$1.16,-49.95%,$12.03,420.96%,ALIT,NYSE:ALIT,-0.633
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$212.98,-14.20%,,,,$215.73,1.29%,$721.20,238.62%,$841.91,295.30%,ALL,NYSE:ALL,-0.033
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$166.03,-0.39%,,,,$171.41,3.24%,$314.30,89.30%,$345.25,107.94%,ALLE,NYSE:ALLE,0.412
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$41.30,0.56%,,,,$40.89,-0.99%,-$447.78,-1184.21%,-$482.96,-1269.38%,ALLY,NYSE:ALLY,-0.552
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$21.54,13.92%,,,,$21.59,0.23%,-$88.73,-511.92%,-$76.03,-452.96%,ALRS,NASDAQ:ALRS,-0.287
