Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$44.10,-7.38%,,,,$44.05,-0.11%,$23.49,-46.74%,$57.65,30.72%,AA,NYSE:AA,-0.248
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$15.13,-17.71%,,,,$14.00,-7.47%,$6.79,-55.13%,$12.53,-17.17%,AAL,NASDAQ:AAL,-0.796
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$83.73,-21.47%,,,,$84.10,0.44%,$99.90,19.31%,$108.24,29.27%,AAON,NASDAQ:AAON,-0.671
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$77.90,-11.10%,,,,,-100.00%,-$2.00,-102.57%,-$2.00,-102.57%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.25,$77.90,-5.74%,-5.74%,$73.43,$73.43,$75.60,-2.95%,-$145.99,-287.41%,-$136.32,-274.99%,ABCB,NYSE:ABCB,-0.601
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.44,13.52%,13.52%,$2.77,$3.18,$2.45,0.41%,$6.47,165.14%,$7.70,215.77%,ABEV,NYSE:ABEV,-0.482
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$45.57,22.41%,,,,$44.10,-3.23%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.492
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.77,93.45%,,,,$3.56,-5.57%,$35.92,852.86%,$50.85,1248.70%,ACCO,NYSE:ACCO,-0.270
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.80,19.51%,,,,$10.25,-5.09%,$18.60,72.23%,$28.04,159.65%,ACEL,NYSE:ACEL,-0.717
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$92.53,5.13%,,,,$90.11,-2.62%,$359.65,288.69%,$369.27,299.08%,ACGL,NASDAQ:ACGL,-0.715
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.51,2.70%,,,,$9.11,7.05%,$7.71,-9.41%,$7.75,-8.96%,ACHR,NYSE:ACHR,0.101
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$271.86,-2.86%,,,,$268.99,-1.06%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,-0.134
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.31,29.03%,,,,$7.81,-6.02%,$10.96,31.93%,$7.80,-6.11%,ACVA,NYSE:ACVA,-0.614
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$71.66,10.61%,,,,$72.37,0.99%,$51.90,-27.58%,$86.51,20.72%,ADC,NYSE:ADC,-0.822
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.74,-13.16%,,,,$12.84,46.91%,$4.55,-47.99%,$27.40,213.50%,ADTN,NASDAQ:ADTN,1.000
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$163.71,-51.45%,,,,$163.33,-0.23%,$312.44,90.85%,$373.16,127.94%,AEM,NYSE:AEM,-0.868
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$114.04,-8.18%,,,,$118.38,3.81%,-$0.86,-100.76%,$118.41,3.83%,AEP,NASDAQ:AEP,-0.055
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.86,-2.85%,,,,$13.59,-1.95%,-$54.43,-492.70%,-$50.00,-460.75%,AES,NYSE:AES,-0.836
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.38,23.78%,,,,$14.29,-0.63%,$117.53,717.32%,$144.35,903.84%,AFYA,NASDAQ:AFYA,-0.832
NYSE:AG,12 Aug 2025,$7.66,3,,,,$15.54,-50.74%,,,,$14.63,-5.86%,$16.82,8.22%,$22.77,46.50%,AG,NYSE:AG,-0.852
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$36.77,-47.92%,,,,$35.48,-3.51%,$52.41,42.53%,$61.66,67.70%,AGI,NYSE:AGI,-0.664
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,2.5,$184.69,-2.67%,,,,$168.21,-8.92%,"-$2,515.49",-1462.01%,"-$2,583.08",-1498.60%,AGM,NYSE:AGM,-0.924
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.38,-1.93%,,,,$10.39,0.10%,-$73.10,-804.22%,-$67.39,-749.19%,AGNC,NASDAQ:AGNC,-0.618
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$88.96,12.66%,,,,$86.51,-2.75%,$28.59,-67.86%,$28.66,-67.79%,AGO,NYSE:AGO,-0.814
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$7.85,19.75%,,,,$8.14,3.69%,$36.22,361.43%,$17.92,128.32%,AGRO,NYSE:AGRO,-0.680
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.06,9.99%,,,,$75.36,-2.21%,-$58.38,-175.76%,$7.27,-90.56%,AIG,NYSE:AIG,-0.748
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$50.66,31.86%,,,,$49.16,-2.96%,$67.14,32.53%,$109.30,115.75%,AIN,NYSE:AIN,-0.219
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$2.98,67.79%,,,,$3.01,1.01%,$3.93,31.89%,$3.60,20.86%,AIRS,NASDAQ:AIRS,-0.465
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$222.66,-0.38%,,,,$219.24,-1.54%,$460.30,106.73%,$549.14,146.63%,AIZ,NYSE:AIZ,-0.613
