Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$44.10,-7.38%,,,,$40.86,-7.35%,$21.21,-51.91%,$55.46,25.76%,AA,NYSE:AA,-0.695
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.56,-14.48%,,,,$13.53,-7.07%,$6.51,-55.30%,$12.25,-15.89%,AAL,NASDAQ:AAL,-0.831
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$88.63,-25.82%,,,,$88.04,-0.67%,$101.09,14.06%,$109.46,23.50%,AAON,NASDAQ:AAON,-0.344
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$76.71,-9.72%,,,,,-100.00%,-$2.00,-102.61%,-$2.00,-102.61%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.5,$76.71,-4.28%,-4.28%,$73.43,$73.43,$75.49,-1.59%,-$146.65,-291.17%,-$136.94,-278.51%,ABCB,NYSE:ABCB,-0.412
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.62,5.73%,5.73%,$2.77,$3.18,$2.58,-1.53%,$6.64,153.59%,$7.88,200.90%,ABEV,NYSE:ABEV,-0.499
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.94,26.95%,,,,$43.46,-1.09%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.293
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.63,100.91%,,,,$3.41,-6.06%,$36.18,896.59%,$51.16,1309.26%,ACCO,NYSE:ACCO,-0.878
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.59,21.88%,,,,$10.30,-2.74%,$18.77,77.26%,$28.23,166.60%,ACEL,NYSE:ACEL,-0.713
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$92.72,4.91%,,,,$91.36,-1.47%,$362.32,290.77%,$371.98,301.19%,ACGL,NASDAQ:ACGL,-0.636
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.35,4.67%,,,,$8.50,1.80%,$7.46,-10.68%,$7.50,-10.22%,ACHR,NYSE:ACHR,0.105
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$272.85,-3.21%,,,,$279.32,2.37%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,0.139
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.90,35.72%,,,,$7.59,-3.92%,$10.53,33.25%,$7.36,-6.88%,ACVA,NYSE:ACVA,-0.609
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$74.47,6.43%,,,,$72.33,-2.87%,$90.87,22.02%,$134.60,80.74%,ADC,NYSE:ADC,-0.841
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.32,60.31%,,,,,-100.00%,-$2.00,-725.00%,-$2.00,-725.00%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.23,-7.78%,,,,$8.48,3.04%,$4.26,-48.23%,$27.20,230.52%,ADTN,NASDAQ:ADTN,0.098
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$169.18,-53.02%,,,,$170.21,0.61%,$313.44,85.27%,$374.40,121.30%,AEM,NYSE:AEM,-0.102
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$118.06,-11.31%,,,,$117.47,-0.50%,-$0.18,-100.15%,$119.55,1.27%,AEP,NASDAQ:AEP,-0.527
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.71,-1.79%,,,,$13.82,0.80%,-$54.39,-496.73%,-$49.96,-464.42%,AES,NYSE:AES,-0.663
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.18,17.26%,,,,$14.86,-2.11%,$118.48,680.49%,$145.41,857.87%,AFYA,NASDAQ:AFYA,-0.815
NYSE:AG,12 Aug 2025,$7.66,3,,,,$15.69,-51.21%,,,,$15.39,-1.91%,$17.46,11.28%,$23.43,49.30%,AG,NYSE:AG,-0.777
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$35.81,-46.52%,,,,$35.62,-0.53%,$52.59,46.86%,$61.88,72.81%,AGI,NYSE:AGI,-0.155
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,2.5,$176.92,1.60%,1.60%,$179.75,$219.00,$170.51,-3.62%,"-$2,512.37",-1520.06%,"-$2,580.30",-1558.46%,AGM,NYSE:AGM,-0.874
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.46,-2.68%,,,,$10.41,-0.48%,-$73.24,-800.17%,-$67.51,-745.39%,AGNC,NASDAQ:AGNC,-0.566
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$88.83,12.83%,,,,$87.43,-1.58%,$29.13,-67.21%,$29.19,-67.14%,AGO,NYSE:AGO,-0.729
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.33,12.85%,,,,$8.06,-3.24%,$36.42,337.27%,$18.06,116.85%,AGRO,NYSE:AGRO,-0.594
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.07,9.98%,,,,$75.39,-2.18%,-$58.15,-175.45%,$7.63,-90.10%,AIG,NYSE:AIG,-0.652
