Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$41.45,-1.45%,,,,$42.90,3.50%,$21.63,-47.81%,$56.21,35.61%,AA,NYSE:AA,0.076
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.24,-12.56%,,,,$13.73,-3.58%,$7.34,-48.43%,$13.06,-8.27%,AAL,NASDAQ:AAL,-0.686
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$91.06,-27.79%,,,,$92.25,1.31%,$106.28,16.71%,$114.75,26.02%,AAON,NASDAQ:AAON,-0.410
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$75.52,-8.30%,,,,,-100.00%,-$2.00,-102.65%,-$2.00,-102.65%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.5,$75.52,-2.77%,-2.77%,$73.43,$73.43,$75.80,0.37%,-$145.07,-292.09%,-$135.24,-279.07%,ABCB,NYSE:ABCB,-0.406
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.75,$2.58,7.36%,7.36%,$2.77,$3.18,$2.54,-1.55%,$6.62,156.43%,$7.87,205.02%,ABEV,NYSE:ABEV,-0.238
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.22,29.06%,,,,$42.93,-0.67%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.436
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.49,108.97%,,,,$3.53,1.15%,$36.70,951.58%,$51.88,1386.62%,ACCO,NYSE:ACCO,0.223
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.36,24.58%,,,,$10.06,-2.90%,$18.51,78.71%,$28.04,170.68%,ACEL,NYSE:ACEL,-0.543
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$92.69,4.94%,,,,$93.32,0.68%,$369.47,298.60%,$379.26,309.17%,ACGL,NASDAQ:ACGL,-0.609
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$7.65,14.25%,,,,$8.08,5.62%,$6.90,-9.84%,$6.94,-9.34%,ACHR,NYSE:ACHR,0.144
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$261.02,1.17%,,,,$256.44,-1.75%,$565.26,116.56%,$619.36,137.29%,ACN,NYSE:ACN,0.160
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.70,39.25%,,,,$7.62,-1.04%,$10.72,39.27%,$7.52,-2.30%,ACVA,NYSE:ACVA,-0.653
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$74.15,6.89%,,,,$73.22,-1.25%,$93.17,25.65%,$137.51,85.45%,ADC,NYSE:ADC,-0.814
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.13,-6.64%,,,,$12.09,48.71%,$4.01,-50.64%,$27.26,235.35%,ADTN,NASDAQ:ADTN,1.000
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$169.77,-53.18%,,,,$174.72,2.92%,$321.02,89.09%,$382.82,125.49%,AEM,NYSE:AEM,-0.065
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$119.23,-12.18%,,,,$123.22,3.35%,$6.10,-94.88%,$127.48,6.92%,AEP,NASDAQ:AEP,-0.346
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.96,-3.55%,,,,$13.96,0.00%,-$54.31,-489.00%,-$49.87,-457.23%,AES,NYSE:AES,-0.355
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.18,17.26%,,,,$14.53,-4.28%,$120.14,691.42%,$147.44,871.28%,AFYA,NASDAQ:AFYA,-0.774
NYSE:AG,12 Aug 2025,$7.66,3,,,,$15.91,-51.89%,,,,$13.89,-12.70%,$17.04,7.11%,$23.07,44.99%,AG,NYSE:AG,-0.380
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$36.18,-47.07%,,,,$37.30,3.10%,$54.21,49.82%,$63.63,75.86%,AGI,NYSE:AGI,-0.089
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,2.75,$174.25,3.16%,3.16%,$179.75,$219.00,$168.39,-3.36%,"-$2,509.44",-1540.14%,"-$2,578.62",-1579.84%,AGM,NYSE:AGM,-0.710
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.46,-2.68%,,,,$10.45,-0.10%,-$73.13,-799.16%,-$67.34,-743.80%,AGNC,NASDAQ:AGNC,-0.494
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$89.35,12.17%,,,,$89.52,0.19%,$32.02,-64.16%,$32.08,-64.09%,AGO,NYSE:AGO,-0.629
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.08,16.34%,,,,$7.98,-1.24%,$36.53,352.10%,$17.95,122.19%,AGRO,NYSE:AGRO,-0.517
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$76.95,10.15%,,,,$75.38,-2.04%,-$58.38,-175.86%,$7.83,-89.82%,AIG,NYSE:AIG,-0.596
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$47.24,41.41%,,,,$47.64,0.85%,$65.82,39.32%,$108.51,129.70%,AIN,NYSE:AIN,-0.162
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.44,45.35%,,,,$3.45,0.29%,$4.44,29.21%,$4.11,19.42%,AIRS,NASDAQ:AIRS,-0.427
