Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$43.77,-6.68%,,,,$44.04,0.62%,$23.49,-46.34%,$57.65,31.71%,AA,NYSE:AA,-0.256
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.81,-15.93%,,,,$13.98,-5.60%,$6.79,-54.16%,$12.53,-15.38%,AAL,NASDAQ:AAL,-0.809
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$87.53,-24.88%,,,,$84.29,-3.70%,$99.90,14.13%,$108.24,23.66%,AAON,NASDAQ:AAON,-0.629
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$76.55,-9.54%,,,,,-100.00%,-$2.00,-102.61%,-$2.00,-102.61%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.25,$76.55,-4.08%,-4.08%,$73.43,$73.43,$75.65,-1.18%,-$145.99,-290.72%,-$136.32,-278.08%,ABCB,NYSE:ABCB,-0.584
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.46,12.60%,12.60%,$2.77,$3.18,$2.45,-0.41%,$6.47,162.98%,$7.70,213.21%,ABEV,NYSE:ABEV,-0.484
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$44.63,24.98%,,,,$44.21,-0.94%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.425
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.59,103.15%,,,,$3.56,-0.84%,$35.92,900.64%,$50.85,1316.32%,ACCO,NYSE:ACCO,-0.272
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.47,23.28%,,,,$10.24,-2.20%,$18.60,77.65%,$28.04,167.83%,ACEL,NYSE:ACEL,-0.723
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$91.72,6.05%,,,,$90.07,-1.80%,$359.65,292.12%,$369.27,302.61%,ACGL,NASDAQ:ACGL,-0.722
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.60,1.63%,,,,$9.11,5.93%,$7.71,-10.36%,$7.75,-9.91%,ACHR,NYSE:ACHR,0.087
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$266.59,-0.94%,,,,$269.05,0.92%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,-0.127
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$8.15,31.56%,,,,$7.81,-4.17%,$10.96,34.52%,$7.80,-4.27%,ACVA,NYSE:ACVA,-0.615
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$73.90,7.25%,,,,$72.22,-2.27%,$51.90,-29.78%,$86.51,17.06%,ADC,NYSE:ADC,-0.842
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.31,65.48%,,,,,-100.00%,-$2.00,-745.16%,-$2.00,-745.16%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.53,-11.02%,,,,$12.84,50.53%,$4.55,-46.71%,$27.40,221.22%,ADTN,NASDAQ:ADTN,1.000
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$168.83,-52.92%,,,,$163.42,-3.20%,$312.44,85.06%,$373.16,121.03%,AEM,NYSE:AEM,-0.864
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$117.54,-10.92%,,,,$117.26,-0.24%,-$0.86,-100.73%,$118.41,0.74%,AEP,NASDAQ:AEP,-0.359
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.92,-3.27%,,,,$13.59,-2.37%,-$54.43,-491.01%,-$50.00,-459.19%,AES,NYSE:AES,-0.840
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$14.71,21.01%,,,,$14.27,-2.99%,$117.53,698.99%,$144.35,881.32%,AFYA,NASDAQ:AFYA,-0.845
NYSE:AG,12 Aug 2025,$7.66,3,,,,$15.06,-49.17%,,,,$14.62,-2.92%,$16.82,11.67%,$22.77,51.17%,AG,NYSE:AG,-0.858
NYSE:AGI,24 Oct 2025,$19.15,2,,,,$36.08,-46.92%,,,,$35.51,-1.58%,$52.41,45.25%,$61.66,70.91%,AGI,NYSE:AGI,-0.647
NYSE:AGM,11 Nov 2025,$179.75,4,$219.00,5,2.5,$175.80,2.25%,2.25%,$179.75,$219.00,$167.85,-4.52%,"-$2,515.49",-1530.88%,"-$2,583.08",-1569.33%,AGM,NYSE:AGM,-0.933
NASDAQ:AGNC,28 Oct 2025,$11.15,4,$10.18,8,,$10.62,-4.14%,,,,$10.38,-2.26%,-$73.10,-788.31%,-$67.39,-734.52%,AGNC,NASDAQ:AGNC,-0.647
NYSE:AGO,3 Jan 2025,$100.22,4,$105.33,1,,$88.63,13.08%,,,,$86.44,-2.47%,$28.59,-67.74%,$28.66,-67.67%,AGO,NYSE:AGO,-0.823
NYSE:AGRO,27 Aug 2025,$9.55,4,$9.40,1,,$8.24,14.08%,,,,$8.14,-1.21%,$36.22,339.59%,$17.92,117.51%,AGRO,NYSE:AGRO,-0.687
NYSE:AIG,17 Jul 2025,$84.76,3,$90.60,5,,$77.03,10.04%,,,,$75.37,-2.16%,-$58.38,-175.79%,$7.27,-90.56%,AIG,NYSE:AIG,-0.746
NYSE:AIN,15 Aug 2025,$77.61,3,$66.80,4,,$49.61,34.65%,,,,$49.17,-0.89%,$67.14,35.33%,$109.30,120.32%,AIN,NYSE:AIN,-0.210
NASDAQ:AIRS,23 Aug 2025,$6.69,3,$5.00,5,,$3.04,64.47%,,,,$3.01,-0.99%,$3.93,29.29%,$3.60,18.48%,AIRS,NASDAQ:AIRS,-0.469
NYSE:AIZ,29 Aug 2025,$221.82,3,$239.50,10,,$222.87,-0.47%,,,,$219.10,-1.69%,$460.30,106.54%,$549.14,146.39%,AIZ,NYSE:AIZ,-0.626
NYSE:AL,9 Apr 2025,$49.87,5,$54.25,6,,$63.93,-21.99%,,,,$63.94,0.02%,-$213.21,-433.51%,-$84.34,-231.92%,AL,NYSE:AL,-0.456
NYSE:ALC,27 Aug 2025,$81.45,1,,,,$80.73,0.89%,,,,$83.41,3.32%,$139.23,72.46%,$187.67,132.47%,ALC,NYSE:ALC,0.198
NYSE:ALEX,18 Nov 2025,$16.62,4,$21.00,5,2.5,$15.22,9.18%,9.18%,$16.62,$21.00,$0.00,-100.00%,$20.75,36.35%,$14.45,-5.05%,ALEX,NYSE:ALEX,-1.000
NYSE:ALIT,10 Sep 2025,$6.24,3,$6.75,4,,$2.04,205.93%,,,,$1.98,-2.94%,$0.81,-60.39%,$11.52,464.79%,ALIT,NYSE:ALIT,-0.661
NYSE:ALL,11 Sep 2025,$182.73,2,,,,$202.27,-9.66%,,,,$199.21,-1.51%,$691.24,241.74%,$809.21,300.07%,ALL,NYSE:ALL,-0.731
NYSE:ALLE,24 Oct 2025,$165.38,3,,,,$159.08,3.96%,,,,$166.21,4.48%,$303.33,90.68%,$333.62,109.72%,ALLE,NYSE:ALLE,0.135
NYSE:ALLY,10 Apr 2025,$42.93,5,$41.53,7,,$42.39,-2.03%,,,,$41.76,-1.49%,-$447.37,-1155.37%,-$481.96,-1236.96%,ALLY,NYSE:ALLY,-0.675
NASDAQ:ALRS,27 Oct 2025,$24.54,3,$25.63,7,,$22.21,10.48%,,,,$21.15,-4.77%,-$89.74,-504.07%,-$77.32,-448.14%,ALRS,NASDAQ:ALRS,-0.949
NYSE:ALSN,22 Sep 2025,$99.81,4,$98.14,3,,$92.54,6.05%,,,,$95.35,3.04%,$217.77,135.33%,$246.08,165.92%,ALSN,NYSE:ALSN,0.319
NASDAQ:ALT,28 Oct 2025,$3.47,3,$19.75,5,,$5.24,-33.82%,,,,$5.17,-1.34%,$3.68,-29.69%,$3.70,-29.41%,ALT,NASDAQ:ALT,-0.535
NASDAQ:ALTS,12 Aug 2025,$5.33,2,,,,$1.43,272.73%,,,,$1.41,-1.40%,$0.00,-100.00%,$0.00,-100.00%,ALTS,NASDAQ:ALTS,-0.592
NASDAQ:ALVO,23 Aug 2025,$8.66,3,,,,$5.47,58.35%,,,,$5.01,-8.41%,$6.25,14.24%,$8.16,49.09%,ALVO,NASDAQ:ALVO,-0.773
NASDAQ:AMAL,2 Oct 2025,$30.65,3,,1,,$30.95,-0.97%,,,,$29.82,-3.65%,-$138.01,-545.91%,-$137.13,-543.06%,AMAL,NASDAQ:AMAL,-0.835
NYSE:AMBC,3 Sep 2025,$10.68,3,,2,,#N/A,#N/A,,,,$0.00,#N/A,$190.53,#N/A,$199.71,#N/A,AMBC,NYSE:AMBC,-1.000
NYSE:AMBP,29 Aug 2025,$5.14,4,,6,,$3.91,31.43%,,,,$3.82,-2.30%,$2.26,-42.20%,$10.22,161.46%,AMBP,NYSE:AMBP,-0.669
NYSE:AMCR,2 Dec 2025,$11.25,3,$10.82,7,2.75,$8.30,30.36%,30.36%,$10.82,$11.25,$8.24,-0.72%,$4.36,-47.50%,$1.25,-84.94%,AMCR,NYSE:AMCR,-0.486
NYSE:AMPY,26 Aug 2025,$6.99,3,,,,$5.56,25.79%,,,,$5.47,-1.62%,$21.28,282.80%,$21.91,294.11%,AMPY,NYSE:AMPY,-0.724
NASDAQ:AMRK,30 Aug 2025,$28.71,3,,2,,#N/A,#N/A,,,,$27.74,#N/A,$197.83,#N/A,$209.08,#N/A,AMRK,NASDAQ:AMRK,-0.882
NASDAQ:AMSC,29 Oct 2025,$40.66,2,,,,$32.47,25.22%,,,,$31.89,-1.79%,$40.36,24.29%,$42.30,30.27%,AMSC,NASDAQ:AMSC,-0.513
NASDAQ:AMSF,26 Aug 2025,$45.99,3,,,,$37.14,23.82%,,,,$0.00,-100.00%,$27.39,-26.25%,$28.17,-24.16%,AMSF,NASDAQ:AMSF,-1.000
NYSE:AMTB,19 Nov 2025,$19.34,3,$21.00,4,2,$19.28,0.31%,0.31%,$19.34,$21.00,$18.64,-3.32%,-$172.45,-994.47%,-$170.95,-986.66%,AMTB,NYSE:AMTB,-0.873
NASDAQ:AMTX,4 Sep 2025,$3.19,3,,5,,$1.52,109.61%,,,,$1.50,-1.32%,$1.68,10.59%,-$7.09,-566.51%,AMTX,NASDAQ:AMTX,-0.564
NASDAQ:AMWD,30 Aug 2025,$86.63,3,,6,,$54.82,58.03%,,,,$53.76,-1.93%,$50.16,-8.51%,$259.09,372.62%,AMWD,NASDAQ:AMWD,-0.736
NYSE:AMX,15 May 2025,$18.21,3,,3,,$21.52,-15.38%,,,,$21.26,-1.21%,$71.82,233.76%,$150.36,598.68%,AMX,NYSE:AMX,-0.708
NYSE:ANF,21 Sep 2025,$118.40,3,,1,,$94.87,24.80%,,,,$93.56,-1.38%,$268.12,182.62%,$329.11,246.90%,ANF,NYSE:ANF,-0.726
NYSE:AON,29 Aug 2025,$347.01,2,,,,$345.20,0.52%,,,,$341.73,-1.01%,$338.05,-2.07%,$379.15,9.83%,AON,NYSE:AON,-0.335
NYSE:AOS,28 Nov 2025,$74.18,4,$78.38,6,3,$68.03,9.04%,9.04%,$74.18,$78.38,$67.55,-0.71%,$155.57,128.68%,$165.08,142.66%,AOS,NYSE:AOS,-0.343
NASDAQ:APA,12 Aug 2025,$28.49,3,,7,,$27.10,5.11%,,,,$26.23,-3.21%,$71.58,164.15%,$85.63,215.98%,APA,NASDAQ:APA,-0.818
NYSE:APD,30 Aug 2025,$296.29,3,,8,,$260.69,13.66%,,,,$258.73,-0.75%,$131.16,-49.69%,$179.18,-31.27%,APD,NYSE:APD,-0.607
NASDAQ:APEI,15 Oct 2025,$34.52,3,,,,$34.51,0.03%,,,,$33.69,-2.38%,$78.64,127.87%,$91.60,165.43%,APEI,NASDAQ:APEI,-0.706
NYSE:APH,16 Sep 2023,$81.57,2,,,,$139.36,-41.47%,,,,$138.41,-0.68%,$198.11,42.16%,$210.97,51.39%,APH,NYSE:APH,-0.159
