Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$41.47,-1.50%,,,,$42.90,3.45%,$21.63,-47.84%,$56.21,35.55%,AA,NYSE:AA,0.079
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.23,-12.50%,,,,$13.73,-3.51%,$7.34,-48.39%,$13.06,-8.21%,AAL,NASDAQ:AAL,-0.686
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$90.89,-27.66%,,,,$92.29,1.54%,$106.28,16.93%,$114.75,26.25%,AAON,NASDAQ:AAON,-0.398
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$75.60,-8.40%,,,,,-100.00%,-$2.00,-102.65%,-$2.00,-102.65%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.5,$75.60,-2.87%,-2.87%,$73.43,$73.43,$75.84,0.32%,-$145.07,-291.89%,-$135.24,-278.88%,ABCB,NYSE:ABCB,-0.391
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.75,$2.58,7.36%,7.36%,$2.77,$3.18,$2.54,-1.55%,$6.62,156.43%,$7.87,205.02%,ABEV,NYSE:ABEV,-0.245
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$43.19,29.15%,,,,$43.13,-0.14%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.306
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.50,108.37%,,,,$3.52,0.57%,$36.70,948.57%,$51.88,1382.37%,ACCO,NYSE:ACCO,0.220
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.36,24.58%,,,,$10.06,-2.90%,$18.51,78.71%,$28.04,170.68%,ACEL,NYSE:ACEL,-0.545
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$92.96,4.64%,,,,$93.33,0.40%,$369.47,297.45%,$379.26,307.98%,ACGL,NASDAQ:ACGL,-0.607
