Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$46.14,-11.47%,,,,$42.57,-7.74%,$23.38,-49.34%,$57.26,24.10%,AA,NYSE:AA,-0.700
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.96,-16.77%,,,,$14.39,-3.81%,$5.93,-60.35%,$11.69,-21.85%,AAL,NASDAQ:AAL,-0.784
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$77.93,-15.63%,,,,$81.51,4.59%,$99.63,27.84%,$107.87,38.42%,AAON,NASDAQ:AAON,-0.713
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$77.95,-11.16%,,,,,-100.00%,-$2.00,-102.57%,-$2.00,-102.57%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.25,$77.95,-5.80%,-5.80%,$73.43,$73.43,$76.10,-2.37%,-$147.11,-288.72%,-$137.53,-276.44%,ABCB,NYSE:ABCB,-0.547
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.55,8.63%,8.63%,$2.77,$3.18,$2.45,-3.92%,$6.43,152.01%,$7.65,200.00%,ABEV,NYSE:ABEV,-0.443
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$46.64,19.60%,,,,$45.71,-1.99%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,0.252
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.79,92.43%,,,,$3.50,-7.65%,$35.32,832.00%,$50.08,1221.31%,ACCO,NYSE:ACCO,-0.572
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$11.30,14.22%,,,,$10.27,-9.12%,$18.51,63.77%,$27.89,146.83%,ACEL,NYSE:ACEL,-0.587
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$93.92,3.57%,,,,$89.17,-5.06%,$354.72,277.68%,$364.23,287.81%,ACGL,NASDAQ:ACGL,-0.757
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.30,5.30%,,,,$8.90,7.23%,$7.71,-7.11%,$7.75,-6.64%,ACHR,NYSE:ACHR,0.088
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$271.56,-2.75%,,,,$266.89,-1.72%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,-0.256
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.99,34.19%,,,,$8.00,0.13%,$10.92,36.72%,$7.79,-2.52%,ACVA,NYSE:ACVA,-0.459
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$71.75,10.47%,,,,$70.91,-1.17%,$51.23,-28.60%,$85.45,19.09%,ADC,NYSE:ADC,-0.854
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.30,71.00%,,,,,-100.00%,-$2.00,-766.67%,-$2.00,-766.67%,ADIL,NASDAQ:ADIL,-2.000
