Stock,Date,MS Fair Value,MS,Tips Target,Tips Stars,Stars,Current Price,Fair Value,Valid Fair Value,Low Price,High Price,"3 Mths
Target","3 Mths
Target %",Intrinsic Value Basic,Intrinsic Value Basic %,Intrinsic Value Adjusted,Intrinsic Value Adjusted %,Symbol,"Google
Symbol",Score
NYSE:AA,17 Aug 2025,$40.85,3,,,,$44.01,-7.19%,,,,$40.85,-7.18%,$21.21,-51.81%,$55.46,26.02%,AA,NYSE:AA,-0.698
NASDAQ:AAL,28 Jul 2025,$12.45,3,$13.73,1,,$14.34,-13.17%,,,,$13.53,-5.65%,$6.51,-54.61%,$12.25,-14.60%,AAL,NASDAQ:AAL,-0.834
NASDAQ:AAON,27 Aug 2025,$65.75,1,,,,$86.85,-24.29%,,,,$87.69,0.97%,$101.09,16.40%,$109.46,26.03%,AAON,NASDAQ:AAON,-0.457
NASDAQ:ABCB,12 Oct 2025,$69.25,3,$77.00,6,,$76.81,-9.84%,,,,,-100.00%,-$2.00,-102.60%,-$2.00,-102.60%,ABCB,NYSE:ABCB,-2.000
NYSE:ABCB,19 Nov 2025,$73.43,3,,,2.5,$76.81,-4.40%,-4.40%,$73.43,$73.43,$75.69,-1.46%,-$146.65,-290.92%,-$136.94,-278.28%,ABCB,NYSE:ABCB,-0.337
NYSE:ABEV,1 Dec 2025,$3.18,5,$2.77,7,3.5,$2.58,7.36%,7.36%,$2.77,$3.18,$2.58,0.00%,$6.64,157.52%,$7.88,205.56%,ABEV,NYSE:ABEV,-0.484
NYSE:ABM,30 Aug 2025,$55.78,4,$58.40,6,,$44.29,25.94%,,,,$43.54,-1.69%,$0.00,-100.00%,$0.00,-100.00%,ABM,NYSE:ABM,-0.232
NYSE:ACCO,3 Jun 2025,$7.29,5,$9.00,7,,$3.56,104.86%,,,,$3.41,-4.21%,$36.18,916.18%,$51.16,1336.97%,ACCO,NYSE:ACCO,-0.882
NYSE:ACEL,18 Sep 2025,$12.91,4,$15.00,7,,$10.41,23.99%,,,,$10.29,-1.15%,$18.77,80.33%,$28.23,171.21%,ACEL,NYSE:ACEL,-0.725
NASDAQ:ACGL,29 Aug 2025,$97.27,4,$108.00,5,,$92.39,5.29%,,,,$91.35,-1.13%,$362.32,292.16%,$371.98,302.62%,ACGL,NASDAQ:ACGL,-0.638
NYSE:ACHR,7 Jul 2025,$8.74,3,,,,$8.95,-2.35%,,,,$8.50,-5.03%,$7.46,-16.66%,$7.50,-16.24%,ACHR,NYSE:ACHR,0.088
NYSE:ACN,2 Sep 2025,$264.08,4,$333.45,9,,$269.34,-1.95%,,,,$279.34,3.71%,$0.00,-100.00%,$0.00,-100.00%,ACN,NYSE:ACN,0.141
NYSE:ACVA,18 Sep 2025,$10.72,3,,,,$7.89,35.89%,,,,$7.59,-3.80%,$10.53,33.42%,$7.36,-6.76%,ACVA,NYSE:ACVA,-0.610
NYSE:ADC,19 Sep 2025,$79.26,4,$81.90,8,,$74.38,6.56%,,,,$72.23,-2.89%,$90.87,22.17%,$134.60,80.96%,ADC,NYSE:ADC,-0.853
NASDAQ:ADIL,11 Jul 2025,$0.51,3,,,,$0.33,55.45%,,,,,-100.00%,-$2.00,-706.06%,-$2.00,-706.06%,ADIL,NASDAQ:ADIL,-2.000
NASDAQ:ADTN,23 Aug 2025,$7.59,3,,,,$8.54,-11.12%,,,,$12.50,46.37%,$4.26,-50.11%,$27.20,218.52%,ADTN,NASDAQ:ADTN,1.000
NYSE:AEM,24 Oct 2025,$79.48,1,,,,$171.43,-53.64%,,,,$170.20,-0.72%,$313.44,82.84%,$374.40,118.40%,AEM,NYSE:AEM,-0.105
NASDAQ:AEP,18 Sep 2025,$104.71,2,,,,$118.04,-11.29%,,,,$117.58,-0.39%,-$0.18,-100.15%,$119.55,1.28%,AEP,NASDAQ:AEP,-0.503
NYSE:AES,11 Jul 2025,$13.47,3,,,,$13.93,-3.34%,,,,$13.80,-0.93%,-$54.39,-490.47%,-$49.96,-458.66%,AES,NYSE:AES,-0.688
NASDAQ:AFYA,13 Feb 2025,$25.44,3,$17.80,2,,$15.20,17.11%,,,,$14.86,-2.24%,$118.48,679.46%,$145.41,856.61%,AFYA,NASDAQ:AFYA,-0.816
NYSE:AG,12 Aug 2025,$7.66,3,,,,$15.02,-49.03%,,,,$15.31,1.93%,$17.46,16.24%,$23.43,55.96%,AG,NYSE:AG,-0.835
