	Score	Target	ExDividendDate	DividendPerShare    Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:IBKR	1.000	$258.84	28 Feb 2025	0.2125		$94.15	$108.72															
NYSE:RBC	1.000	$501.31				$435.07	$501.25															
NASDAQ:CLMB	1.000	$159.73	17 Mar 2025	0.17		$222.43	$243.12															
NYSE:SCHW	0.977	$83.63	14 Feb 2025	0.25		$70.13	$77.73															
NYSE:BBW	0.973	$40.18	27 Mar 2025	0.2		$0.00	$0.00															
NYSE:TT	0.962	$373.72	6 Jun 2025	0.84		$532.09	$561.47															
NASDAQ:CENX	0.960	$17.19				$8.30	$15.18															
NASDAQ:SEIC	0.958	$77.92				$139.73	$146.91															
NYSE:CPRI	0.950	$15.92				$83.51	$105.20															
NYSE:PBI	0.948	$8.65	21 Feb 2025	0.05		$25.77	$37.05															
NYSE:PNR	0.946	$88.29	17 Apr 2025	0.23		$92.69	$103.34															
NASDAQ:NAVI	0.946	$12.27	7 Mar 2025	0.16		-$434.82	-$391.20															
NYSE:MPLX	0.944	$51.57	3 Feb 2025	0.90325	Withholding Tax: 10% $116.72	$138.25	$116.72	$138.25															
NYSE:RJF	0.940	$145.25	1 Apr 2025	0.4625		$72.25	$87.83															
NYSE:GEF	0.940	$56.35	17 Mar 2025	0.535		$75.62	-$46.07															
NASDAQ:GOOD	0.937	$14.70	21 Apr 2025	0.3		$25.48	$45.64															
NASDAQ:MATW	0.934	$22.07	10 Feb 2025	0.245		$54.54	$88.96															
NASDAQ:HOOD	0.930	$46.63				$60.24	$61.41															
NYSE:GS	0.923	$530.07	28 Feb 2025	2.875		$521.34	$595.76															
NYSE:TSN	0.913	$64.64	30 May 2025	0.4925		$87.04	$132.98
